Category,Variable,Unit,Observed,Validation,Status Quo,First Best CarbonTax,EquivEmission_CarbonTax,EquivEmission_RFS,EquivEmission_LCFS,EquivEmission_TaxCredit,EquivEmission_5B_CarbonTax,EquivEmission_5B_RFS,EquivEmission_5B_LCFS,EquivEmission_5B_TaxCredit
Metadata,Scenario_Name,,Observed,Validation,Status Quo,First Best CarbonTax,EquivEmission_CarbonTax,EquivEmission_RFS,EquivEmission_LCFS,EquivEmission_TaxCredit,EquivEmission_5B_CarbonTax,EquivEmission_5B_RFS,EquivEmission_5B_LCFS,EquivEmission_5B_TaxCredit
Welfare,CS change_die,B$,,,,0,0,0,0,-18.31,0,0,-0.68,-46.96
Welfare,CS change_corn,B$,,,,-16.28,-7.64,-20.15,-25.09,0.57,-17.71,-32.84,-34.23,-1.57
Welfare,CS change_soyoil,B$,,,,0,0,0,0,-8.33,0,0,-0.33,-19.96
Welfare,CS change_soymeal,B$,,,,0.82,0.41,0.65,1.2,0.68,0.89,1.01,1.58,1.38
Welfare,CS change_total,B$,,,,-61.51,-30.33,-34.33,-39.96,-30.42,-66.56,-59.06,-63.5,-81.38
Welfare,PS change,B$,,,,24.47,11.14,30.67,38.8,19.56,26.75,51.99,55.19,56.1
Welfare,GovRevenue,B$,,,,32.37,17.98,0,0,-13.71,34.43,0,0,-34.52
Welfare,EnvBenefit change_avi_benefit,B$,,,,12.65,7.29,5.61,4.9,3.08,13.39,9.32,10.96,4.78
Welfare,EnvBenefit change_road_benefit,B$,,,,1.14,0.53,1.41,1.78,2.36,1.24,2.35,2.55,5.94
Welfare,EnvBenefit change_food_benefit,B$,,,,1.27,0.65,1.45,1.8,3.02,1.36,2.12,2.47,5.29
Welfare,EnvBenefit change_total_benefit,B$,,,,15.05,8.47,8.47,8.48,8.45,15.99,13.79,15.98,16.01
Welfare,private_surplus,B$,,,,-4.67,-1.21,-3.65,-1.16,-24.57,-5.38,-7.07,-8.31,-59.8
Welfare,social_welfare,B$,,,,10.39,7.25,4.82,7.32,-16.11,10.61,6.72,7.67,-43.78
Average Abatement Cost,aac_private,$/tonCO2,,,,58.93,27.21,81.97,26.03,552.14,63.89,97.39,98.82,709.44
Average Abatement Cost,aac_social,$/tonCO2,,,,-131.07,-162.79,-108.03,-163.97,362.14,-126.11,-92.61,-91.18,519.44
